Source,SKU,Brand,Name,Price,RAM,SSD,Processor,GPU,VRAM,Link,Brand_Encoded,Processor_Encoded
Bhinneka,3340436434,HP,"HP Probook 440 G10 (Core i5-1335U, 16GB, 512GB SSD, Win 11 Pro)",17150000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/hp-probook-440-g10-core-i5-1335u-16gb-512gb-ssd-win-11-pro-8c416pa-sku3340436434,9,67
Bhinneka,3340230018,DELL,"DELL Latitude 5430 (Core i5-1245U, 8GB, 512GB SSD, Win 11 Pro)",14250000.0,8.0,512.0,CORE I5-1245U,,,https://www.bhinneka.com/dell-latitude-5430-core-i5-1245u-8gb-512gb-ssd-win-11-pro-sku3340230018,7,64
Bhinneka,3339339946,HP,"HP Notebook 240 G9 (Core i5-1235U, 8GB, 512GB SSD, Win 11 Home)",12200000.0,8.0,512.0,CORE I5-1235U,,,https://www.bhinneka.com/hp-notebook-240-g9-core-i5-1235u-8gb-512gb-ssd-win-11-home-78r28pa-sku3339339946,9,61
Bhinneka,3338272170,HP,"HP Business Notebook 240 G8 (Core i7-1165G7, 16GB, 128GB SSD + 1TB HDD, Win 11 Pro) ",18000000.0,16.0,128.0,CORE I7-1165G,,,https://www.bhinneka.com/hp-business-notebook-240-g8-core-i7-1165g7-16gb-128gb-ssd-1tb-hdd-win-11-pro-61g56pa-sku3338272170,9,83
Bhinneka,3329762748,DELL,"DELL Inspiron 7490 (Core i5-10210U, 8GB, 512GB SSD)",19172000.0,8.0,512.0,CORE I5-10210U,,,https://www.bhinneka.com/dell-inspiron-7490-core-i5-10210u-8gb-512gb-ssd-silver-sku3329762748,7,52
Bhinneka,3338018418,ASUS,"ASUS ExpertBook B5302CEA-KG7110R (Core i7-1165G7, 16GB, 1TB SSD, Win 10 Pro)",24842000.0,16.0,1024.0,CORE I7-1165G,,,https://www.bhinneka.com/asus-expertbook-b5302cea-kg7110r-core-i7-1165g7-16gb-1tb-ssd-win-10-pro-star-black-sku3338018418,3,83
Bhinneka,3322720257,MSI,"MSI P65 Creator 8RE (Core i7-8750H, 16GB, 512GB SSD, GTX 1060 6GB)",29263000.0,16.0,512.0,CORE I7-8750H,GTX 1060,,https://www.bhinneka.com/msi-p65-creator-8re-core-i7-8750h-16gb-512gb-ssd-gtx-1060-6gb-9s7-16q312-059-sku3322720257,12,105
Bhinneka,3340444776,HP,"HP EliteBook 630 G10 (Core i5-1335U, 16GB, 512GB SSD, Win 11 Pro)",21700000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/hp-elitebook-630-g10-core-i5-1335u-16gb-512gb-ssd-win-11-pro-89m51pa-sku3340444776,9,67
Bhinneka,3340445164,HP,"HP EliteBook 630 G10 (Core i7-1355U, 16GB, 1TB SSD, Win 11 Pro)",26500000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/hp-elitebook-630-g10-core-i7-1355u-16gb-1tb-ssd-win-11-pro-89m50pa-sku3340445164,9,95
Bhinneka,3340229921,DELL,"DELL Latitude 5430 (Core i7-1265U, 16GB, 1TB SSD, Win 11 Pro)",18400000.0,16.0,1024.0,CORE I7-1265U,,,https://www.bhinneka.com/dell-latitude-5430-core-i7-1265u-16gb-1tb-ssd-win-11-pro-sku3340229921,7,91
Bhinneka,3339617172,ASUS,"ASUS ExpertBook B5 B5402FBA-HY7110X (Core i7-1260P, 16GB, 1TB SSD, Win 11 Pro)",26499000.0,16.0,1024.0,CORE I7-1260P,,,https://www.bhinneka.com/asus-expertbook-b5-b5402fba-hy7110x-core-i7-1260p-16gb-1tb-ssd-win-11-pro-star-black-sku3339617172,3,89
Bhinneka,3339610576,ASUS,"ASUS ExpertBook B9400CBA-KC7320X (Core i7-1255U, 32GB, 2TB SSD, Win 11 Pro)",33999000.0,32.0,2048.0,CORE I7-1255U,,,https://www.bhinneka.com/asus-expertbook-b9400cba-kc7320x-core-i7-1255u-32gb-2tb-ssd-win-11-pro-star-black-sku3339610576,3,88
Bhinneka,3340467086,LENOVO,"LENOVO IdeaPad 3 14IAU7 (Core i3-1215U, 8GB, 512GB SSD, Win 11 Home)",6999000.01,8.0,512.0,CORE I3-1215U,,,https://www.bhinneka.com/lenovo-ideapad-3-14iau7-core-i3-1215u-8gb-512gb-ssd-win-11-home-82rj00cxid-misty-blue-sku3340467086,11,49
Bhinneka,3340467765,LENOVO,"LENOVO IdeaPad 3 14IAU7 (Core i3-1215U, 8GB, 512GB SSD, Win 11 Home)",6999000.01,8.0,512.0,CORE I3-1215U,,,https://www.bhinneka.com/lenovo-ideapad-3-14iau7-core-i3-1215u-8gb-512gb-ssd-win-11-home-82rj00cyid-arctic-grey-sku3340467765,11,49
Bhinneka,3340083160,LENOVO,"LENOVO ThinkPad X13 Yoga Gen 4 (Core i7-1365U, 16GB, 1TB SSD, Win 11 Pro)",31300000.0,16.0,1024.0,CORE I7-1365U,,,https://www.bhinneka.com/lenovo-thinkpad-x13-yoga-gen-4-core-i7-1365u-16gb-1tb-ssd-win-11-pro-21f2005lid-deep-black-sku3340083160,11,99
Bhinneka,3339554025,LENOVO,"LENOVO ThinkPad L13 Yoga Gen 3 (Core i7-1255U, 16GB, 1TB SSD, Win 11 Pro)",25500000.0,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/lenovo-thinkpad-l13-yoga-gen-3-core-i7-1255u-16gb-1tb-ssd-win-11-pro-21b5004qid-thunder-black-sku3339554025,11,88
Bhinneka,3340483576,HP,"HP EliteBook 840 G10 ( Core i7-1355U, 16GB, 1TB SSD, Win 11 Pro)",30400000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/hp-elitebook-840-g10-core-i7-1355u-16gb-1tb-ssd-win-11-pro-hpq8h5h5pa-sku3340483576,9,95
Bhinneka,3340258633,AXIOO,"AXIOO MyBook Pro 107 16S9 (Core i7-1065G7, 16GB, 1TB SSD, Win 10)",18000000.0,16.0,1024.0,CORE I7-1065G,,,https://www.bhinneka.com/axioo-mybook-pro-107-16s9-core-i7-1065g7-16gb-1tb-ssd-win-10-sku3340258633,5,77
Bhinneka,3340484934,DELL,"DELL Latitude 3440 (Core i5-1335U, 8GB, 512GB SSD Win 11 Pro)",18499000.0,8.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/dell-latitude-3440-core-i5-1335u-8gb-512gb-ssd-win-11-pro-sku3340484934,7,67
Bhinneka,3339554704,LENOVO,"LENOVO ThinkPad X13 Gen 3 (Core i7-1265U, 16GB, 1TB SSD, Win 11 Pro)",27599999.99,16.0,1024.0,CORE I7-1265U,,,https://www.bhinneka.com/lenovo-thinkpad-x13-gen-3-core-i7-1265u-16gb-1tb-ssd-win-11-pro-21bn00cdid-storm-grey-sku3339554704,11,91
Bhinneka,3340246411,AXIOO,"AXIOO Mybook Pro K5 16N5 (Core i5-1135G7, 16GB, 512GB SSD, Win 10 Pro) ",12600000.0,16.0,512.0,CORE I5-1135G,,,https://www.bhinneka.com/axioo-mybook-pro-k5-16n5-core-i5-1135g7-16gb-512gb-ssd-win-10-pro-sku3340246411,5,56
Bhinneka,3340510930,DELL,"DELL Latitude 7440 (Core i7-1355U, 16GB, 512GB SSD, Win 11 Pro)",32789000.0,16.0,512.0,CORE I7-1355U,,,https://www.bhinneka.com/dell-latitude-7440-core-i7-1355u-16gb-512gb-ssd-win-11-pro-aluminum-sku3340510930,7,95
Bhinneka,3337242127,HP,"HP ProBook 430 G8 (Core i5-1135G7, 8GB, 512GB SSD, Win 10 Pro)",20100000.0,8.0,512.0,CORE I5-1135G,,,https://www.bhinneka.com/hp-probook-430-g8-core-i5-1135g7-8gb-512gb-ssd-win-10-pro-36u71pa-sku3337242127,9,56
Bhinneka,3339735318,AXIOO,"AXIOO MyBook Pro L7V 16N9 (Core i7-1255U, 16GB, 1TB SSD, Win 11 Pro)",38399999.99,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7v-16n9-core-i7-1255u-16gb-1tb-ssd-win-11-pro-sku3339735318,5,88
Bhinneka,3340545947,LENOVO,"LENOVO ThinkPad L13 Yoga G4 (Core i7-1355U, 16GB, 1TB SSD, Win 11 Pro)",26150000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/lenovo-thinkpad-l13-yoga-g4-core-i7-1355u-16gb-1tb-ssd-win-11-pro-21fj002bid-thunder-black-sku3340545947,11,95
Bhinneka,3338052756,APPLE,"APPLE MacBook Pro (Apple M1, 16GB, 512GB SSD, macOS)",39866000.01,16.0,512.0,M1,,,https://www.bhinneka.com/apple-macbook-pro-apple-m1-16gb-512gb-ssd-macos-mk1e3id-a-silver-sku3338052756,2,166
Bhinneka,3339735221,AXIOO,"AXIOO MyBook Pro L7V 8N5 (Core i7-1255U, 8GB, 512GB SSD, Win 11 Pro)",35700000.0,8.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7v-8n5-core-i7-1255u-8gb-512gb-ssd-win-11-pro-sku3339735221,5,88
Bhinneka,3339732602,AXIOO,"AXIOO MyBook Pro L7 8N5 (Core i7-1255U, 8GB, 512GB SSD, Win 11 Pro)",22600000.0,8.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7-8n5-core-i7-1255u-8gb-512gb-ssd-win-11-pro-sku3339732602,5,88
Bhinneka,3339732796,AXIOO,"AXIOO MyBook Pro L7 8N9 (Core i7-1255U, 8GB, 1TB SSD, Win 11 Pro)",24400000.0,8.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7-8n9-core-i7-1255u-8gb-1tb-ssd-win-11-pro-sku3339732796,5,88
Bhinneka,3340057067,AXIOO,"AXIOO MyBook Pro L7 16N18 (Core i7-1255U, 16GB, 2TB SSD, Win 11 Pro) ",28500000.0,16.0,2048.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7-16n18-core-i7-1255u-16gb-2tb-ssd-win-11-pro-sku3340057067,5,88
Bhinneka,3338450359,AXIOO,"AXIOO Mybook Pro K5V 8N5 (Core i5-1135G7, 8GB, 512GB SSD, Win 10 Pro)",26000000.0,8.0,512.0,CORE I5-1135G,,,https://www.bhinneka.com/axioo-mybook-pro-k5v-8n5-core-i5-1135g7-8gb-512gb-ssd-win-10-pro-sku3338450359,5,56
